Atomic Number,Symbol,Name,Melting Point (K)
1,H,Hydrogen,13.81
2,He,Helium,0.95
3,Li,Lithium,453.65
4,Be,Beryllium,1560.0
5,B,Boron,2348.0
6,C,Carbon,3823.0
7,N,Nitrogen,63.15
8,O,Oxygen,54.36
9,F,Fluorine,53.53
10,Ne,Neon,24.56
11,Na,Sodium,370.95
12,Mg,Magnesium,923.0
13,Al,Aluminum,933.437
14,Si,Silicon,1687.0
15,P,Phosphorus,317.3
16,S,Sulfur,388.36
17,Cl,Chlorine,171.65
18,Ar,Argon,83.8
19,K,Potassium,336.53
20,Ca,Calcium,1115.0
21,Sc,Scandium,1814.0
22,Ti,Titanium,1941.0
23,V,Vanadium,2183.0
24,Cr,Chromium,2180.0
25,Mn,Manganese,1519.0
26,Fe,Iron,1811.0
27,Co,Cobalt,1768.0
28,Ni,Nickel,1728.0
29,Cu,Copper,1357.77
30,Zn,Zinc,692.68
31,Ga,Gallium,302.91
32,Ge,Germanium,1211.4
33,As,Arsenic,1090.0
34,Se,Selenium,493.65
35,Br,Bromine,265.95
36,Kr,Krypton,115.79
37,Rb,Rubidium,312.46
38,Sr,Strontium,1050.0
39,Y,Yttrium,1795.0
40,Zr,Zirconium,2128.0
41,Nb,Niobium,2750.0
42,Mo,Molybdenum,2896.0
43,Tc,Technetium,2430.0
44,Ru,Ruthenium,2607.0
45,Rh,Rhodium,2237.0
46,Pd,Palladium,1828.05
47,Ag,Silver,1234.93
48,Cd,Cadmium,594.22
49,In,Indium,429.75
50,Sn,Tin,505.08
51,Sb,Antimony,903.78
52,Te,Tellurium,722.66
53,I,Iodine,386.85
54,Xe,Xenon,161.36
55,Cs,Cesium,301.59
56,Ba,Barium,1000.0
57,La,Lanthanum,1191.0
58,Ce,Cerium,1071.0
59,Pr,Praseodymium,1204.0
60,Nd,Neodymium,1294.0
61,Pm,Promethium,1315.0
62,Sm,Samarium,1347.0
63,Eu,Europium,1095.0
64,Gd,Gadolinium,1586.0
65,Tb,Terbium,1629.0
66,Dy,Dysprosium,1685.0
67,Ho,Holmium,1747.0
68,Er,Erbium,1802.0
69,Tm,Thulium,1818.0
70,Yb,Ytterbium,1092.0
71,Lu,Lutetium,1936.0
72,Hf,Hafnium,2506.0
73,Ta,Tantalum,3290.0
74,W,Tungsten,3695.0
75,Re,Rhenium,3459.0
76,Os,Osmium,3306.0
77,Ir,Iridium,2719.0
78,Pt,Platinum,2041.55
79,Au,Gold,1337.33
80,Hg,Mercury,234.32
81,Tl,Thallium,577.0
82,Pb,Lead,600.61
83,Bi,Bismuth,544.55
84,Po,Polonium,527.0
85,At,Astatine,575.0
86,Rn,Radon,202.0
87,Fr,Francium,300.0
88,Ra,Radium,973.0
89,Ac,Actinium,1324.0
90,Th,Thorium,2023.0
91,Pa,Protactinium,1845.0
92,U,Uranium,1408.0
93,Np,Neptunium,917.0
94,Pu,Plutonium,913.0
95,Am,Americium,1449.0
96,Cm,Curium,1618.0
97,Bk,Berkelium,1323.0
98,Cf,Californium,1173.0
99,Es,Einsteinium,1133.0
100,Fm,Fermium,1800.0
101,Md,Mendelevium,1100.0
102,No,Nobelium,1100.0
103,Lr,Lawrencium,1900.0
